id,listing_id,district,url,title,price_rub,area_m2,floor,total_floors,metro,address,description_snippet,source_page,scraped_at,price_per_m2
415,327887979,ЮВАО,https://www.cian.ru/rent/flat/327887979/?context=4.QY0N8sa5FdQ._V1dnIdtSfmEjPA_L_HZkSbUaU7O77AuqVLZRUHpPO0W3kv39bv-_U198pT9nMWFgkA7x957B2WPoQ&mlSearchSessionGuid=aa11016200a0fa5a2bb1b386063b79f8,1/14,109000,27.0,14,25,,"1/14 Апартаменты-студия, 27 м², 14/25 этаж Волгоградский проспект 3 минуты пешком Москва , ЮВАО , р-н Южнопортовый , м. Волгоградский проспект , Новоостаповская улица , 20 109 000 ₽/мес. От года, комм. платежи включены (без счётчиков), без комиссии, залог 109 000 ₽ ЖК HighWay Премиальная студия-кинозал : абсолютная тишина, умный дом и экран 110 Сдается дизайнерская студия 27 м² на 14-м этаже в ЖК бизнес-класса HighWay. Всего 2 минуты пешком до метро и 8 минут езды до Китай-города. В квартире решена главная проблема комплекса— сделана профессиональная круговая шумоизоляция (пол, потолок, стены) и заменены окна от застройщика на шумопоглощающие окна Schco. Вы не услышите ни соседей, ни шумного проспекта. Главные преимущества: • Сон уровня 5-звездочного отеля: кровать 160 см с легендарным американским матрасом Serta, премиальное постельное белье , текстиль Frette и 100% пуховое одеяло. Проходные включатели дополняют удобства. • Настоящий домашний кинозал: вместо обычного ТВ установлен проектор с экраном 110 (диагональ 2,8 м) и объемным звуком Dolby. Настроены все онлайн-сервисы. Просто включай и смотри ТВ или свой любимый онлайн кинотеатр. Диван трансформируется в полноценный чилаут-остров. • Дизайн в стиле ваби-саби: натуральные материалы (дерево, камень, травертин, ротанг), мягкий свет и картина Пробуждение света Che масло. • Идеальный порядок: продуманы скрытые системы хранения. Стирально-сушильная машина, холодильник (No frost -авторазморозка), бойлер, 3 х ступенчатая система очистки воды, пылесос и бытовой инвентарь спрятаны за фасадами. Умные шкафы с нажимными ящиками, в том числе в цоколе-используется каждый сантиметр. • Умный дом с Алисой: управление шторами, кондиционером, посудомоечной и стирально-сушильной машинами по сценариям. • Удаленная работа: полноценный рабочий стол из массива, удобное кресло и скрытая организация проводов. Инфраструктура комплекса: Закрытая территория, охрана, консьерж-сервис, подземный паркинг. Удобный и быстрый выезд на ТТК и в центр. Условия аренды: • Стоимость: 115 000 ₽ в месяц. • Залог: 115 000 ₽. • Дополнительно: оплата по счетчикам (свет, вода). Возможна регулярная профессиональная уборка по договоренности. Аренда паркинга. Сдается для одного человека или пары которые ценят тишину, порядок, эстетику и уровень комфорта выше стандартной аренды. Агентство недвижимости Квадраты Москвы Суперагент +7 984 331-30-... Написать вчера 3 май, 19:46",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=3,2026-05-05 11:58:44+00:00,4037.037037037037
346,329613971,ЮВАО,https://www.cian.ru/rent/flat/329613971/?context=4.b7D4vJbDKt8.a7yr5rCpkY9mPX23hFTq7jIbTuAPicubZnv9l3vh3zVAG0dvv9Zadu0E9o1rAAJNoGhYYbUZhyFtXQ&mlSearchSessionGuid=034b2fc13487708e9de1816776bac52e,1/23,100000,30.0,10,22,,"1/23 Дизайнерская студия Студия, 30 м², 10/22 этаж Только на Циан Римская 8 минут пешком Москва , ЮВАО , р-н Лефортово , м. Серп и Молот , улица Крузенштерна , 2 100 000 ₽/мес. От года, комм. платежи включены (без счётчиков), без комиссии, залог 90 000 ₽ Студия с дизайнерским ремонтом в доме бизнес-класса. В доме есть ресепшен, презентабельная входная группа, места для отдыха и ожидания гостей. В квартире все продумано для комфортного проживания: два спальных места (двухспальная кровать и диван), рабочая зона, оборудованная кухня, место для отдыха. Квартира полностью укомплектована, есть вся необходимая бытовая техника: стиральная и сушильные машины, микроволновая печь, индукционная плита, духовой шкаф, посудомоечная машина, пылесос, утюг, сплит система. , без животных и маленьких детей. Курение в квартире запрещено. Оперативный показ. ----- Примечание: у собственника могут быть дополнительные пожелания к жильцам - обсудите их в чате или по телефону Риелтор Анна Зинченко Суперагент +7 915 095-90-... Написать 4 часа назад сегодня, 10:48",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=1,2026-05-05 11:58:44+00:00,3333.3333333333335
349,313752293,ЮВАО,https://www.cian.ru/rent/flat/313752293/?context=4.MfJe2MdGQCo.qwaLLtudSmr5lkY4dPXcAnsyxeDaUfthvRXgfYrpvraMQ35VGU41wYjE5fJXKg1lOSBh6yyi8lVMgg&mlSearchSessionGuid=034b2fc13487708e9de1816776bac52e,1/50,93000,43.0,17,17,,"1/50 Просторная студия у МЦК Дубровка Студия, 43 м², 17/17 этаж Проверено в Росреестре Дубровка 7 минут пешком Москва , ЮВАО , р-н Южнопортовый , м. Дубровка , 6-я Кожуховская улица , 15к2 93 000 ₽/мес. От года, комм. платежи включены (без счётчиков), без комиссии, залог 120 000 ₽ На последнем 17 этаже, на южной стороне одноподъездного монолитного дома 2005 года постройки, сдается просторная 43 м. студия с лоджией, полностью оборудованная и укомплектованная всем необходимым. Установлена новая сушильная машина, капсульная Nespresso, индукционная плита, фильтрация питьевой воды с осмосом, бойлер, Oled (именно Олед) телевизор с не замедляемым ютубом, Apple tv 4k с Кинопабом! (Не путать с Кинопоиском и другими бесполезными онлайн кинотеатрами) , колонкой Алисой с элементами умного дома (интерьерное освещение на голосовом управлении), домашним кинотеатром 5.1 B&W мультирум, по необходимости + xbox X. Инверторный кондиционер Fujitsu с ночным режимом 19dB и Конвекционная микроволновая печь Panasonic (оба made in Japan). В наличии хорошая, новая кухонная посуда, приборы Broggi новое белье (икея импорт)) и всё что нужно для жизни, (штопор есть!). Вам, только развесить на 120 вешалках личные вещи, в 2-х шкафах, и в прихожей разместить 27 пар обуви в обувнице. Кровать - 160/200 и доп спальное место из дивана 120/180. Не смотря на то, что дом находится рядом с ТТК, с прекрасной транспортной доступностью, в квартире тихо и можно спать с открытыми окнами. В доме приветливые соседи и круглосуточный консьерж. У дома ВСЕГДА есть бесплатные парковочные места. Рядом, в соседних домах, продуктовые сетевые магазины с алкоголем, работающие до 23:00 и один круглосуточный + большой Магнит Косметик, через дом Яндекс лавка., Аптека и тандыр Пекарня. В трех! минутах ходьбы от дома большой ТРЦ Мозаика, с фудкортом, гипер маркетом, фитнесом (DDX) флагманским Мфц и 2-х минутным переходом на станцию МЦК Дубровка. Метро Кожуховская в 12 минутах ходьбы. Недалеко находится ландшафтный парк Остров Мечты (идеально для велопрогулок) В стоимость аренды включены все платежи кроме электроэнергии. Сдаю без животных, на длительный срок ценящим чистоту, камерность и уют. Если вы хотите жить в современных условиях, но большие ЖК с маленькими деревьями, плохой шумоизоляцией и непрекращающимся ремонтом вам не подходят, тогда это предложение может быть вам интересно. ID 47359882 Документы проверены +7 985 002-22-... Написать вчера вчера, 19:10",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=1,2026-05-05 11:58:44+00:00,2162.7906976744184
376,329403668,ЮВАО,https://www.cian.ru/rent/flat/329403668/?context=4.EF5AP3O1Hn8.12dahP-pLGJ8DEqzUd_T8zMRVj-anHzT1Q1UeWko4PjpZK7KD-T65CPIr3OyXFvg1G9y7BLHj5Mj-Q&mlSearchSessionGuid=6e3ef361f7256264274875c475b2ee25,1/13,86000,26.6,17,29,,"1/13 Студия, 26,6 м², 17/29 этаж Угрешская 6 минут пешком Москва , ЮВАО , р-н Южнопортовый , м. Угрешская , Волгоградский проспект , 32/5к4 86 000 ₽/мес. На несколько месяцев, комм. платежи включены (без счётчиков), без комиссии, залог 86 000 ₽ Новая, стильная, уютная видовая студия от собственника в доме Бизнес-класса ЖК Метрополия Благодарю за проявленный интерес к моей квартире давайте я познакомлю Вас с ней поближе. Квартира абсолютно новая. Сдается в первый раз! Ранее в ней никто не проживал, вы будете первым Исключительно для проживания! Аренда на длительный срок. На период проживания заключается договор. Немного о квартире: Студия, общая площадь ~27 кв м, Башня Владивосток, этаж 17 Красивый вид из окна на город Сделан новый дорогой дизайнерский ремонт. Квартира полностью укомплектована для комфортной жизни. Зона кухни: гарнитур, встраиваемый холодильник, индукционная плита, встраиваемые духовка и микроволновка, посудомойка, чайник, обеденная зона, посуда. Комната: диван с пружинным блоком раскладной (спальное место 160*200) телевизор 65 дюймов, вместительный комод для одежды, вещей. С/у: совмещенный. Дорогая качественная сантехника, ванна из литьевого мрамора 175 см, теплый пол, электрический полотенцесушитель. Стиральная машина. Проточный водонагреватель В коридоре расположены два больших шкафа, с продуманными зонами хранения. Вместят все вещи! Для поддержания комфортной температуры установлен кондиционер с WI-FI. В квартире имеется много места для хранения одежды и обуви, документов, личных вещей, Wi-Fi роутер. Важные условия: -только для проживания -субаренда ЗАПРЕЩЕНА (в т.ч. под посуточную аренду третьим лицам) -запрещена коммерческая деятельность (маникюр, педикюр, перманент и тд и тп) -без домашних животных (вообще никаких) -курение в квартире строго запрещено Удобное расположение ЖК 5-6 минут пешком до МЦК Угрешская и до станции метро Волгоградский проспект Непосредственная близость к ТТК Без пересадок: -3 станции метро до Китай-город -9 станций по МЦК до Москва-Сити (24 минуты) -7 станций по МЦК до Восточного Вокзала Цена: аренда 86 000 руб./мес. + счетчики (свет, вода горячая и холодная). Залог: 86 000 руб. Без комиссии (я собственник). Срок: на длительный период. ----- Примечание: у собственника могут быть дополнительные пожелания к жильцам - обсудите их в чате или по телефону Собственник ID 140481064 Документы проверены Назначить просмотр вчера вчера, 19:15",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=2,2026-05-05 11:58:44+00:00,3233.082706766917
403,329647591,ЮВАО,https://www.cian.ru/rent/flat/329647591/?context=4.jrcN-_14-dk.ikS-PKK6YntLnLH3chsP_WpbUiFbX-F-BNxdv4bAoKMiUKC71OV0PoZD1k605jN13N2AYuKYkFwitA&mlSearchSessionGuid=aa11016200a0fa5a2bb1b386063b79f8,1/29,85000,28.0,22,30,,"1/29 Апартаменты-студия, 28 м², 22/30 этаж Только на Циан Волгоградский проспект 3 минуты пешком Москва , ЮВАО , р-н Южнопортовый , м. Волгоградский проспект , Новоостаповская улица , 20 85 000 ₽/мес. От года, комм. платежи включены (без счётчиков), без комиссии, залог 85 000 ₽ З минуты до метро! Предлагаем в аренду стильные апартаменты-студию . 20-м этаже современного дома. Высота потолков - 2.8 метра, из окон открывается перспектива на Москву.До метро всего 3 минуты пешком, что делает это предложение особенно привлекательным для тех, кто ценит удобное расположение. В квартире выполнен дизайнерский ремонт, все продумано до мелочей,мебель в комнате и на кухне. Оснащена всей необходимой техникой: кондиционер, холодильник, посудомоечная машина, телевизор и стиральная машина. В ванной комнате установлена душевая кабина. Во всей квартире ТЕПЛЫЙ ПОЛ.На время отключения горячей воды есть мощный водонагреватель. Дом оборудован подземной парковкой Вокруг развитая инфраструктура: по близости расположены школы, детские сады, клиники и магазины, поэтому все необходимое будет у вас под рукой. в 15 минутах исторический центр: Крутицкое подворье, Симоновский и Новоспасский монастыри. Договор заключается на удобных условиях. Агентство недвижимости PREMIUM CITY Суперагент +7 916 724-79-... Написать вчера вчера, 21:18",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=3,2026-05-05 11:58:44+00:00,3035.714285714286
356,329361522,ЮВАО,https://www.cian.ru/rent/flat/329361522/?context=4.zVB3PNLbIpM.XJm5k8P7QMa0yQozeuNgRzKjaAU930lSBTg_qc4TufcsMHswtBvQJMBzaSmeODNqrcZhe2DEOHnXDQ&mlSearchSessionGuid=034b2fc13487708e9de1816776bac52e,1/15,80000,28.0,1,14,,"1/15 Студия, 28 м², 1/14 этаж Ранний доступ Площадь Ильича 12 минут пешком Москва , ЮВАО , р-н Лефортово , м. Площадь Ильича , проезд Шелихова , 3 80 000 ₽/мес. От года, комм. платежи включены (без счётчиков), без комиссии, залог 80 000 ₽ ЖК Символ квартира- студия в современном доме, расположенном в Россия, Москва, проезд Шелихова, 3. Общая площадь 28 кв. м находится на 1 ( высота 2 этажа) этаже 14-этажного дома, построенного в 2023 году. Высокие потолки 3.1 метра создают ощущение простора. До станции метро ""Площадь Ильича"" можно дойти пешком всего за 10 минут. Квартира с евроремонтом, полностью готова к проживанию. Просторная жилая зона 19 кв. м и кухня площадью 8 кв. м оснащены всей необходимой мебелью и техникой: в квартире есть кондиционер, холодильник, посудомоечная машина, телевизор и стиральная машина. Окна выходят на улицу и во двор, обеспечивая хорошее естественное освещение. Дом оборудован подземной парковкой. В здании работают пассажирский и грузовой лифты, поэтому, а значит, всегда можно удобно перемещаться между этажами. Интернет подключен, поэтому можно сразу выходить в сеть. Рядом с домом находятся школы, детские сады, клиники и магазины, что делает его расположение особенно удобным для семей с детьми. Хорошая транспортная доступность позволяет быстро добраться до необходимых объектов инфраструктуры. Условия аренды: договор аренды заключается напрямую с собственником. Залоговая сумма составляет стоимость одного месяца проживания. Собственник ID 115536780 Документы проверены +7 919 763-91-... Написать 30 минут назад сегодня, 14:20",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=1,2026-05-05 11:58:44+00:00,2857.1428571428573
412,329239562,ЮВАО,https://www.cian.ru/rent/flat/329239562/?context=4.2OwE8lXu-oc.UUqZdZoRRxV0BtvbimwTEVXwUTdA8jKtB46l7vjDgx1rErsmqW0ekFwdLUCtkUN4EXtZ50fNTo1HlQ&mlSearchSessionGuid=aa11016200a0fa5a2bb1b386063b79f8,1/16,74999,27.0,14,23,,"1/16 Студия, 27 м², 14/23 этаж Волгоградский проспект 3 минуты пешком Москва , ЮВАО , р-н Южнопортовый , м. Волгоградский проспект , Новоостаповская улица , 20 74 999 ₽/мес. От года, комм. платежи включены (без счётчиков), без комиссии, залог 74 999 ₽ Aрендa oт 6 мecяцев. Замечательнaя студия c доpогим и cовpеменным peмoнтoм. Пpoдуманная до мeлoчeй. Здесь удобно и жить и рaбoтaть. Большaя куxня cо вceй вcтрoенной тexникой: двухкамepный xoлодильник, пocудомoeчная машина, микpoволнoвaя печь. Вмeстительнaя кpoвaть 160 на 200 c оpтoпeдическим матрасом, телевизор с 55 диагональю. Трехзонное освещение позволит настроить комфортный свет в квартире. Теплые полы по всей площади, кондиционер. Удобная ванная комната полностью оборудованная. Отдельная рабочая зона со своим освещением. Адаптированное место для подключения робот-пылесоса. Спешите, это супер отличный и качественный вариант. Оперативные показы с понедельника по пятницу. Посмотреть копии объявления от других продавцов Агентство недвижимости Джойнио Документы проверены +7 985 586-43-... Написать вчера вчера, 12:55",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=3,2026-05-05 11:58:44+00:00,2777.740740740741
340,328535349,ЮВАО,https://www.cian.ru/rent/flat/328535349/?context=4.oefqIf5FMSw.R8hrMlejyh1cVxE5gvo8DVESVTrB1slARdsOAEQuKalpzedHmnjjbTEm1tSLrjUrGqdCJ5tL2-TyzA&mlSearchSessionGuid=034b2fc13487708e9de1816776bac52e,1/21 Ещё фото,71000,19.5,18,28,,"1/21 Ещё фото Пешком до метро! Залог 0 Студия, 19,5 м², 18/28 этаж Волгоградский проспект 6 минут пешком Москва , ЮВАО , р-н Южнопортовый , м. Волгоградский проспект , Новоостаповская улица , 7к1 71 000 ₽/мес. От года, комм. платежи включены (без счётчиков), комиссия 60%, без залога Сдаётся светлая квартира-студия с евроремонтом и совмещённым санузлом в ЖК Первый Дубровский, без депозита! Её можно посмотреть когда Вам удобно: бронируете время, забираете ключи и спокойно осматриваете. Если всё понравится, договор подпишем онлайн и будем поддерживать Вас на всех этапах аренды. В квартире: - Проведён интернет; - Холодильник; - Стиральная машина; - Кухонный гарнитур. Полы ламинат и плитка. Окна выходят во двор, есть бесплатная парковка. Собственник готов заселить не более 3 взрослых жильцов с детьми, бесплатно оформить временную регистрацию и заключить договор с юридическим лицом. Можно с небольшим домашним питомцем. Дом находится в районе с развитой инфраструктурой: в пешей доступности продуктовые супермаркеты, фитнес-клубы, кафе и закусочные, аптеки и медицинские учреждения, салоны красоты. До м. Волгоградский проспект 5 минут пешком, до м. Дубровка 12 минут. Агентство недвижимости ПИК-Аренда Документы проверены Посмотреть все объекты +7 917 506-45-... Написать вчера вчера, 17:31",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=1,2026-05-05 11:58:44+00:00,3641.025641025641
417,329142713,ЮВАО,https://www.cian.ru/rent/flat/329142713/?context=4.YPGYXr_M-6M.CLrfSSLh2orcEW-05RWz6jjiuuIwKMjF2eb4A2FiGg6rPgHGwQDK26RzArGQfikVSPeyata7lw5v8g&mlSearchSessionGuid=aa11016200a0fa5a2bb1b386063b79f8,1/15,70000,27.0,16,23,,"1/15 Апартаменты-студия, 27 м², 16/23 этаж Только на Циан Волгоградский проспект 3 минуты пешком Москва , ЮВАО , р-н Южнопортовый , м. Волгоградский проспект , Новоостаповская улица , 20 70 000 ₽/мес. От года, комм. платежи включены (без счётчиков), комиссия 50%, залог 70 000 ₽ Сдается апартаменты-студия площадью 27 кв.м на 16-м этаже 23-этажного дома. В студии выполнен качественный дизайнерский ремонт. Все новое, еще никто не жил. Дополнительно оплачивается свет и вода по счетчикам, интернет. Сдается на длительный срок. Риелтор Виктория Крячкова Суперагент +7 915 243-91-... Написать вчера вчера, 13:03",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=3,2026-05-05 11:58:44+00:00,2592.5925925925926
368,329009883,ЮВАО,https://www.cian.ru/rent/flat/329009883/?context=4.r7D7bb0rBoY.VFqj-EF4lcGkO7ky-RJj1SynBDBd27EF_ivyfNKWM2ZQ-GL2_RMAhiqNe-cug8M-ptjqllEt1Vds0Q&mlSearchSessionGuid=6e3ef361f7256264274875c475b2ee25,1/34,70000,30.1,2,4,,"1/34 Студия, 30,1 м², 2/4 этаж Москва-Товарная 8 минут пешком Москва , ЮВАО , р-н Лефортово , м. Москва-Товарная , шоссе Энтузиастов , 3к2 70 000 ₽/мес. От года, комм. платежи включены (без счётчиков), комиссия 50%, без залога Дoлгocрoчная аренда (договoр нa 11 меcяцев). Kвартиpа cдaeтcя впepвые! Представляeм вашему внимaнию студию площадью 30.1 кв.м. pасполoжeнную в ЖК Символ Квартира укомплектована всем необходимым для комфортного проживания: качественная техника и стильная мебель! Бытовая теxника: cтиральнaя мaшина, xoлодильник, варочная панeль, духовой шкаф, пoсудомоечная машина, электрический чайник, утюг, телевизор, кондиционер. Транспортная доступность: Метро Площадь Ильича - 6-10 мин пешком Метро Римская- 6-10 мин пешком - На территории ЖК открыты лицей при МГТУ им. Баумана, детские сады, физкультурно-оздоровительные комплексы, детская и взрослая поликлиники, кафе, супермаркеты, рестораны и многое другое. - Рядом расположены Лефортовский парк и парк Казачьей Славы и набережная реки Яузы. - Напротив квартала находится крупный торгово-развлекательный центр Город. Условия проживания по Тарифу Комфортное проживание: - 50% от арендного платежа при заселении; - Раннее бронирование объекта (за 3 дня до заселения); - Персональный менеджер на всех этапах аренды быстро реагирует на запросы - большинство бытовых вопросов решаем за 48 часов; - Страхование гражданской ответственности до 300 000 ₽; - Организация мелкого ремонта. Коммунальные платежи: электроэнергия, хвс\гвс, услуги интернет-провайдера, расходы за отопление дома/квартиры оплачивает арендатор. Заселение только при наличии постоянной регистрации РФ. Без животных. Агентство недвижимости СМАРЕНТ Документы проверены +7 985 853-93-... Написать вчера вчера, 13:36",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=2,2026-05-05 11:58:44+00:00,2325.5813953488373
