id,listing_id,district,url,title,price_rub,area_m2,floor,total_floors,metro,address,description_snippet,source_page,scraped_at,price_per_m2
337,328922251,ЮВАО,https://www.cian.ru/rent/flat/328922251/?context=4.d_a5QfescX8.9jMRFfGnjdWG17396vtgO7dOcNvmiAlxBgvMMKfoRGuqIUPdLf5J7JLtXM14rI7lQjAe_8qVsyQaww&mlSearchSessionGuid=034b2fc13487708e9de1816776bac52e,1/14 Ещё фото,47000,19.6,4,17,,"1/14 Ещё фото Студия, 19,6 м², 4/17 этаж Братиславская 3 минуты на транспорте Москва , ЮВАО , р-н Люблино , м. Перерва , Иловайская улица , 2 47 000 ₽/мес. От года, комм. платежи включены (без счётчиков), комиссия 60%, без залога Уникальное предложение! Светлая квартира-студия с хорошим ремонтом и совмещенным санузлом в ЖК Люблинский Парк, без депозита! В квартире уже есть всё необходимое для приятного проживания, а дополнительную мебель и технику может приобрести собственник. Проведён интернет с Wi-Fi и есть бесплатная парковка рядом, а окна выходят во двор на западную сторону. Дом расположен в районе с развитой инфраструктурой, рядом есть всё для комфортной жизни. Отлично подойдёт для семьи или пары, собственник готов заселить до двух взрослых жильцов с детьми или заключить договор с юридическим лицом. С домашним питомцем нельзя. Готовы показать квартиру в удобное для вас время, просто выберите подходящее время, заберите ключи и можете спокойно осмотреть ее в комфортных условиях. Если всё понравится - оформим договор онлайн в личном кабинете. Там будут все платежи и чеки, честно и без скрытых комиссий или неожиданных расходов. Оплатить можно удобным способом, включая банковскую или кредитную карты. Мы будем рядом на всех этапах аренды и поможем решить любые возникающие вопросы. Не упустите шанс, это отличный вариант для тех, кто ищет уют и удобство! Агентство недвижимости ПИК-Аренда Документы проверены Посмотреть все объекты +7 917 506-34-... Написать вчера вчера, 20:51",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=1,2026-05-05 11:58:44+00:00,2397.9591836734694
338,329333718,ЮВАО,https://www.cian.ru/rent/flat/329333718/?context=4.BGgdr-V1RfQ.TtVvRNWDgFdMAB1aXAxCUXD7Yrw7zEGltNCAOI99jyZ3CekVanB8MfWQ2qGeILX_S-KLrFb6sCj57g&mlSearchSessionGuid=034b2fc13487708e9de1816776bac52e,1/13 Ещё фото,40600,19.6,21,25,,"1/13 Ещё фото 10 минут до метро! Студия, 19,6 м², 21/25 этаж Перерва 12 минут пешком Москва , ЮВАО , р-н Люблино , м. Перерва , Иловайская улица , 4 40 600 ₽/мес. От года, комм. платежи включены (без счётчиков), комиссия 70%, без залога Сдаётся светлая квартира-студия с евроремонтом и совмещённым санузлом в ЖК Люблинский Парк, без депозита! Её можно посмотреть когда Вам удобно: бронируете время, забираете ключи и спокойно осматриваете. Если всё понравится, договор подпишем онлайн и будем поддерживать Вас на всех этапах аренды. Кухонный гарнитур, мебель и необходимую технику можно приобрести в счёт арендной платы. Полы ламинат и плитка. Окна выходят во двор, на север, есть бесплатная парковка. Собственник готов заселить не более 2 жильцов с детьми и обсудить оформление временной регистрации. С домашним питомцем можно. Недалеко от дома: - Парк имени Артёма Боровика; - Братиславский лесопарк. - ТЦ Люблю Молл; - Парк 850-летия Москвы; - Лес Жары; - Парк Героев Отечественной войны 1812 года. Во дворах обустроены детские площадки, двор без машин. В пешей доступности — школа, детский сад, продуктовые супермаркеты, аптеки, фитнес-клуб, кафе. До МЦД-2 Перерва - 10 минут пешком. Агентство недвижимости ПИК-Аренда Документы проверены Посмотреть все объекты +7 985 362-98-... Написать вчера вчера, 17:07",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=1,2026-05-05 11:58:44+00:00,2071.428571428571
339,323840974,ЮВАО,https://www.cian.ru/rent/flat/323840974/?context=4.eAuoGOrimyY.6qkQrmZWvG3erWjRGeKBWIRn5aQW0SHVDpUhhXjB_X-Yp9n3lny0bJk1YbJmp39qQdmJrjjbjgP3ew&mlSearchSessionGuid=034b2fc13487708e9de1816776bac52e,1/7,27000,17.0,1,16,,"1/7 Апартаменты-студия, 17 м², 1/16 этаж Только на Циан Текстильщики 14 минут пешком Москва , ЮВАО , р-н Текстильщики , м. Текстильщики , улица 8-я Текстильщиков , 13К2 27 000 ₽/мес. На несколько месяцев, комм. платежи включены (без счётчиков), без комиссии, без залога СОБСТВЕННИК! Читайте пожалуйста внимательно, полностью! Сдается студия 17м² в апартаментах в цоколе. Комната изолированна. Сдам исключительно адекватному, чистоплотному, спокойному, ответственному гp. PФ без вредных привычек арендатору!!! Регистрация и амино невозможна! Желательно одного человека! Приточно-вытяжная вентиляция. Без окна! Комната находится в районе с развитой инфраструктурой, в шаговой доступности от метро, БКЛ, МЦД-2. Ценик на длительный срок(год), если комнату снять на меньший срок, то цена увеличится. Если объявление опубликовано, значит актуально и еще сдается. Подойдёт как под жилое, так и не под жилое, мастерская, типография, офис, склад, упаковка, производство, ателье и т.д. ----- Примечание: у собственника могут быть дополнительные пожелания к жильцам - обсудите их в чате или по телефону Собственник ID 8531476 Документы проверены +7 916 936-41-... Написать четыре дня назад 30 апр, 17:46",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=1,2026-05-05 11:58:44+00:00,1588.235294117647
340,328535349,ЮВАО,https://www.cian.ru/rent/flat/328535349/?context=4.oefqIf5FMSw.R8hrMlejyh1cVxE5gvo8DVESVTrB1slARdsOAEQuKalpzedHmnjjbTEm1tSLrjUrGqdCJ5tL2-TyzA&mlSearchSessionGuid=034b2fc13487708e9de1816776bac52e,1/21 Ещё фото,71000,19.5,18,28,,"1/21 Ещё фото Пешком до метро! Залог 0 Студия, 19,5 м², 18/28 этаж Волгоградский проспект 6 минут пешком Москва , ЮВАО , р-н Южнопортовый , м. Волгоградский проспект , Новоостаповская улица , 7к1 71 000 ₽/мес. От года, комм. платежи включены (без счётчиков), комиссия 60%, без залога Сдаётся светлая квартира-студия с евроремонтом и совмещённым санузлом в ЖК Первый Дубровский, без депозита! Её можно посмотреть когда Вам удобно: бронируете время, забираете ключи и спокойно осматриваете. Если всё понравится, договор подпишем онлайн и будем поддерживать Вас на всех этапах аренды. В квартире: - Проведён интернет; - Холодильник; - Стиральная машина; - Кухонный гарнитур. Полы ламинат и плитка. Окна выходят во двор, есть бесплатная парковка. Собственник готов заселить не более 3 взрослых жильцов с детьми, бесплатно оформить временную регистрацию и заключить договор с юридическим лицом. Можно с небольшим домашним питомцем. Дом находится в районе с развитой инфраструктурой: в пешей доступности продуктовые супермаркеты, фитнес-клубы, кафе и закусочные, аптеки и медицинские учреждения, салоны красоты. До м. Волгоградский проспект 5 минут пешком, до м. Дубровка 12 минут. Агентство недвижимости ПИК-Аренда Документы проверены Посмотреть все объекты +7 917 506-45-... Написать вчера вчера, 17:31",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=1,2026-05-05 11:58:44+00:00,3641.025641025641
341,326967848,ЮВАО,https://www.cian.ru/rent/flat/326967848/?context=4.hOjkgWDpFmY.PekgJlIgj79olBMxFhYi0boG_ZDm5QsgT4hl3yXORBW3mWyZXArBPcHgHi6gPYX3kTNxauoQrjCH3A&mlSearchSessionGuid=034b2fc13487708e9de1816776bac52e,1/7 Ещё фото,65000,30.0,3,24,,"1/7 Ещё фото Квартира без комиссии Апартаменты-студия, 30 м², 3/24 этаж Только на Циан Онлайн-договор Авиамоторная 16 минут пешком Москва , ЮВАО , р-н Лефортово , м. Авиамоторная , улица Крузенштерна , 7 65 000 ₽/мес. От года, комм. платежи включены (без счётчиков), без комиссии, залог 10 000 ₽ Я собственник! ТОРГА НЕТ! Извиняюсь за не обработанные фото Риелторы не тратьте моё время. Сдаётся уютная студия в новом доме, построенном в 2025 году. Общая площадь - 27 кв. м, жилая - 20 кв. м, кухня занимает 3 кв. м. Апартаменты расположены на 3 этаже 24-этажного здания. Высокие потолки 2.7 метра добавляют простора. До станции метро ""Авиамоторная"" всего 16 минут пешком. Квартира выполнена с дизайнерским ремонтом, что создаёт стильную и комфортную обстановку. В студии есть вся необходимая мебель как на кухне, так и в комнате. Для вашего удобства установлены кондиционер, холодильник, телевизор и стиральная машина. Санузел совмещён, оборудован современной душевой кабиной. Дом предлагает подземную парковку, поэтому можно не беспокоиться о месте для автомобиля. В здании функционируют как пассажирский, так и грузовой лифты, поэтому можно легко передвигать крупные вещи. Также есть мусоропровод, что добавляет удобства в быту. Интернет-связь доступна, что особенно важно для работы или учёбы. Рядом с домом находятся школы, детские сады, клиники и магазины, что делает район удобным и комфортным для жизни. Условия аренды прозрачные: без комиссии, от собственника. Подходит для одного человека или пары. Коммунальные платежи оплачиваются отдельно. Залоговая сумма составляет оплату за один месяц. Звоните и записывайтесь, чтобы увидеть квартиру вживую и оценить её преимущества. Собственник ID 13296398 Посмотреть все объекты +7 986 323-82-... Написать 4 часа назад сегодня, 10:35",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=1,2026-05-05 11:58:44+00:00,2166.6666666666665
342,329632275,ЮВАО,https://www.cian.ru/rent/flat/329632275/?context=4.z6spLkquNlY.057Mpf_mDyTQsVLYrtwv1-HFvo1E-1Vyq2i5mpdRHWvDgIehhD7pgPn1Fle7pahVwTbLgvE6QbeINQ&mlSearchSessionGuid=034b2fc13487708e9de1816776bac52e,1/19,29000,16.0,1,5,,"1/19 Студия, 16 м², 1/5 этаж Люблино 4 минуты пешком Москва , ЮВАО , р-н Люблино , м. Люблино , Новороссийская улица , 7 29 000 ₽/мес. От года, комм. платежи включены (без счётчиков), комиссия 80%, залог 13 500 ₽ От метро 3 минуты пешком. Уютная студия со всем необходимым (диван раскладывается, плита, чайник, СУС, холодильник, сма, свч) Можно со своей мебелью (место освободим). Предпочтение женщине. Счётчики фиксированная цена. Торг индивидуально. Депозит разделим на 2 месяца или перенесм на другой месяц. Можно с животным. Ключи на руках. ЗВОНИТЕ ИЛИ СРАЗУ ПИШИТЕ ВАШ НОМЕР ДЛЯ ОПЕРАТИВНОЙ СВЯЗИ. Риелтор ID 56970 +7 915 095-65-... Написать 11 часов назад сегодня, 03:09",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=1,2026-05-05 11:58:44+00:00,1812.5
343,328376795,ЮВАО,https://www.cian.ru/rent/flat/328376795/?context=4.K1y6Ihtobws.QzJWZr4l8NBiqtD29OsFw01ccCHOLbfeJOSzwGTbKCemAaKjEUD2NYm7nLG3Lz9SzCoBBxf0xtkM9w&mlSearchSessionGuid=034b2fc13487708e9de1816776bac52e,1/11,32000,12.0,10,15,,"1/11 Студия, 12 м², 10/15 этаж Люблино 15 минут пешком Москва , ЮВАО , р-н Люблино , м. Люблино , Цимлянская улица , 3к3 32 000 ₽/мес. От года, комм. платежи включены (счётчики включены), комиссия 50%, залог 32 000 ₽ Показы 8 апреля СДАМ ДЛЯ ОДНОГО человека на длительный срок квартиру-студию с современным евроремонтом в новом ЖК бизнес-класса ""ВЛюблино"", район Люблино. Депозит возможно разбить на 2 части. Дом 15-этажный монолитный. Этаж 10/15, пластиковые окна, санузел совмещен. Диван двуспальный, микроволновая печь, холодильник, электро-плита, чайник, шкаф, стиральная машина (в коридоре). Инфраструктура развитая, все объекты первой необходимости расположены в пешей доступности: школа, детский сад, супермаркеты и др. Рядом парки. От станции метро Люблино - 9 минут пешком. Автобусные остановки возле дома. Оперативный показ: Москва, Цимлянская 3к3. Агентство недвижимости ЖИЛСЕРВИС Суперагент +7 915 496-36-... Написать 5 часов назад сегодня, 09:44",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=1,2026-05-05 11:58:44+00:00,2666.6666666666665
344,329605056,ЮВАО,https://www.cian.ru/rent/flat/329605056/?context=4.9M4ZstqvtYI.OEsLAn6coUNy_Rx_D21HJM9tXO10JqqdZCJ8zu39ChekmEmsnHHOOp1g1PSDHYmOblzFXQAfqYDvCw&mlSearchSessionGuid=034b2fc13487708e9de1816776bac52e,1/20,55000,18.0,13,21,,"1/20 Лучший вариант! Апартаменты-студия, 18 м², 13/21 этаж Только на Циан Новохохловская 5 минут на транспорте Москва , ЮВАО , р-н Нижегородский , м. Калитники , Автомобильный проезд , 4к6 55 000 ₽/мес. На несколько месяцев, комм. платежи включены (без счётчиков), комиссия 70%, залог 35 000 ₽ Студия в жилом комплексе бизнескласса. Сдаётся впервые. Квартира с современным ремонтом, укомплектована качественной бытовой техникой и мебелью — готова к заселению. В шаговой доступности магазины, остановки общественного транспорта, кафе, рестораны и фитнесцентры. Рядом — парковая зона с лесом и прудом, подходящая для прогулок и отдыха. Фотографии объекта соответствуют действительности. Для просмотра звоните, или пишите в любое время. Риелтор Рустам Байгильдин Суперагент +7 985 384-74-... Написать 14 часов назад сегодня, 00:45",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=1,2026-05-05 11:58:44+00:00,3055.5555555555557
345,298226663,ЮВАО,https://www.cian.ru/rent/flat/298226663/?context=4.7ZVK08czHQg.D2OWV44aVk9j0c6Q3uuRN0pPaRGQ0zoBJESzPPk_MaVwyBqadDovQ3-zV5K0RV3MzqusftGotcmycw&mlSearchSessionGuid=034b2fc13487708e9de1816776bac52e,1/11,40000,22.0,3,3,,"1/11 Апартаменты-студия, 22 м², 3/3 этаж Только на Циан Нижегородская 7 минут пешком Москва , ЮВАО , р-н Нижегородский , м. Нижегородская , шоссе Фрезер , 17АС3 40 000 ₽/мес. На несколько месяцев, комм. платежи включены (без счётчиков), комиссия 50%, залог 40 000 ₽ Сдается с МАЯ по СЕНТЯБРЬ студия на ш. Фрейзер. 5 мин. пешком от метро Нижегородская (9 мин. от Курской на МЦД-4) 40.000р + Счетчики (13.000 руб.- сумма не меняется, так как это статус апартаментов) в месяц. Площадь: 22,2 м2. Евро ремонт и хорошая бытовая техника. Кухня оснащена: плитой, печью с функцией СВЧ, стиральной машиной, посудомоечной машиной. Студия в хорошем состоянии. 3 этаж, без лифта, окна во двор. На территории дома имеется собственная парковочная зона. Первый платеж включает в себя: оплата за первый месяц 40.000 руб.+ депозит 40.000 руб. (возвращается при выселении) + 20.000 руб. (услуги риэлтора). Без животных! Агентство недвижимости Правовой Центр Недвижимости Суперагент +7 986 263-99-... Написать четыре дня назад 30 апр, 18:30",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=1,2026-05-05 11:58:44+00:00,1818.1818181818182
346,329613971,ЮВАО,https://www.cian.ru/rent/flat/329613971/?context=4.b7D4vJbDKt8.a7yr5rCpkY9mPX23hFTq7jIbTuAPicubZnv9l3vh3zVAG0dvv9Zadu0E9o1rAAJNoGhYYbUZhyFtXQ&mlSearchSessionGuid=034b2fc13487708e9de1816776bac52e,1/23,100000,30.0,10,22,,"1/23 Дизайнерская студия Студия, 30 м², 10/22 этаж Только на Циан Римская 8 минут пешком Москва , ЮВАО , р-н Лефортово , м. Серп и Молот , улица Крузенштерна , 2 100 000 ₽/мес. От года, комм. платежи включены (без счётчиков), без комиссии, залог 90 000 ₽ Студия с дизайнерским ремонтом в доме бизнес-класса. В доме есть ресепшен, презентабельная входная группа, места для отдыха и ожидания гостей. В квартире все продумано для комфортного проживания: два спальных места (двухспальная кровать и диван), рабочая зона, оборудованная кухня, место для отдыха. Квартира полностью укомплектована, есть вся необходимая бытовая техника: стиральная и сушильные машины, микроволновая печь, индукционная плита, духовой шкаф, посудомоечная машина, пылесос, утюг, сплит система. , без животных и маленьких детей. Курение в квартире запрещено. Оперативный показ. ----- Примечание: у собственника могут быть дополнительные пожелания к жильцам - обсудите их в чате или по телефону Риелтор Анна Зинченко Суперагент +7 915 095-90-... Написать 4 часа назад сегодня, 10:48",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=1,2026-05-05 11:58:44+00:00,3333.3333333333335
