id,listing_id,district,url,title,price_rub,area_m2,floor,total_floors,metro,address,description_snippet,source_page,scraped_at
2055,225616021,ЮВАО,https://www.cian.ru/rent/flat/225616021/?context=4.ideDuTERWDU.WwWk3KzLfAsZ0Ip0Fw423QSocR2uvnZTJ3cmsDiJxGKd0VqfTllKiKz5bThBIKK4SJstdcDQXF0i9g&mlSearchSessionGuid=3c5899e8ce23f7cd56b0c5190b70ca97,1/9,50000,25.0,1,7,,"1/9 Студия, 25 м², 1/7 этаж Только на Циан Нижегородская 7 минут пешком Москва , ЮВАО , р-н Нижегородский , м. Нижегородская , Рязанский проспект , 2/1к2В 50 000 ₽/мес. От года, комм. платежи включены (без счётчиков), без комиссии, залог 50 000 ₽ свободна с 02. 05 !!! ЖК СРЕДА . БЕЗ КОМИСИИ До м.Нижегородская 5-7 минут пешком. Прекрасная транспортная развязка,в том числе ночные автобусы. Ашан , Мои Документы все рЯдом Квартира-студия в новом доме. Сдаётся на длительный срок! Есть зеркальный шкаф купе , стиральная машинка, кухонный гарнитур, плита холодильник, микроволновка. Пока вы видите объявление -квартира сдается СДАЕТСЯ . ЗВОНИТЕ. просмотр по договоренности. НЕТ СУБАРЕНДЫ. Без домашних животных. Собственник ID 1812748 +7 985 302-16-... Написать вчера вчера, 16:13",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=2,2026-04-27T11:20:07+00:00
2040,329405049,ЮВАО,https://www.cian.ru/rent/flat/329405049/?context=4.rB5nEVc0Sxc.Y2tY4STsDoT3IBBV5yxwlzMSZbYq6vYhL5rIkbFwArwJrQMX3HbVzz0zPmYq_e8jqEAO40LXXmNFKg&mlSearchSessionGuid=eab2cefc752236b7c6e78cec726d7aae,1/5,138000,16.0,1,5,,"1/5 Студия, 16 м², 1/5 этаж Текстильщики 11 минут пешком Москва , ЮВАО , р-н Текстильщики , м. Текстильщики , Люблинская улица , 25/1 38 000 ₽/мес. От года, комм. платежи включены (без счётчиков), комиссия 60%, залог 38 000 ₽ Вам к нам! Только если: вы любите качество, по адекватной цене! Наша квартира для тех ,кто хочет жить каждое мгновение жизни, а не только приезжать ночевать в арендную квартиру. Уютная квартира. Спокойная атмосфера. Отличная локация. Адекватный собственник!! Тут можно жить и работать не выходя из дома. Агентство недвижимости ПАРТНЕР Суперагент +7 980 154-12-... Написать час назад сегодня, 13:08",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=1,2026-04-27T11:20:07+00:00
2059,329245351,ЮВАО,https://www.cian.ru/rent/flat/329245351/?context=4.ZeK-sk4DGlg.l_gvPzjNLePU-Vq7nZ8Nc4-eEBIoBBysygPbnc_g1YYmyYE2ylnlEWd2MnIBRzZbXvspF3lIf2VpgA&mlSearchSessionGuid=3c5899e8ce23f7cd56b0c5190b70ca97,1/14,147500,20.0,13,33,,"1/14 Студия, 20 м², 13/33 этаж Только на Циан Новохохловская 6 минут пешком Москва , ЮВАО , р-н Нижегородский , м. Новохохловская , Новохохловская улица , 15к1 47 500 ₽/мес. От года, комм. платежи включены (без счётчиков), комиссия 50%, залог 25 000 ₽ СТУДИЯ. Сдается уютная квартира в ПЕШЕЙ доступности от метро. ЗАЛОГ 50%. Есть вся необходимая мебель и техника, включая кондиционер и пылесос. Новый дом. В пешей доступности супермаркеты, пункты выдачи , кафе , спортивные центры, вся необходимая инфраструктура. ОПЕРАТИВНЫЙ показ и заселение. Риелтор Александр Васильев Суперагент +7 980 407-76-... 1 минуту назад сегодня, 14:18",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=2,2026-04-27T11:20:07+00:00
2061,322986877,ЮВАО,https://www.cian.ru/rent/flat/322986877/?context=4.7jyus-8YAgU.VVnHkHum8p7F-WbsubDjspXSn6Cwvkt0Pcau33LVuLK5xD7OlO8am0k7ZDVODa39hQOPWeZO23kR1w&mlSearchSessionGuid=3c5899e8ce23f7cd56b0c5190b70ca97,1/5,148000,22.0,13,25,,"1/5 Студия, 22 м², 13/25 этаж Депо 12 минут пешком Москва , ЮВАО , р-н Люблино , м. Депо , Люблинская улица , 72Ак1 48 000 ₽/мес. От года, комм. платежи включены (без счётчиков), без комиссии, залог 53 000 ₽ Без комиссии Сдам квартиру в ЖК Люблинский парк от собственника. В квартире есть все необходимое для комфортного проживания: -стиральная машина -телевизор со смарт -микроволновая печь -чайник -утюг -сушилка -гладильная доска -кондиционер -фильтр для воды барьер Проживание для одного человека, без домашних животных, а так же запрещено курение! Риэлторов просьба не беспокоить! Объявление запрещено копировать! Залог 50 тыс. Просмотр по договоренности, УТРОМ/ДНЕМ ----- Примечание: у собственника могут быть дополнительные пожелания к жильцам - обсудите их в чате или по телефону Собственник ID 93995175 Документы проверены +7 985 929-59-... Написать вчера 25 апр, 18:43",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=2,2026-04-27T11:20:07+00:00
2065,329009950,ЮВАО,https://www.cian.ru/rent/flat/329009950/?context=4.HN82yUm9HeI.sTuhv0ey7larIBhVS2QCOVtB3JG0oxXPoX7bRbEj0we8VnIeeG3DwVWb3i6g8wUi-Z8Yx9fOabm8ag&mlSearchSessionGuid=3c5899e8ce23f7cd56b0c5190b70ca97,1/31,151000,19.7,20,22,,"1/31 Студия, 19,7 м², 20/22 этаж Текстильщики 20 минут пешком Москва , ЮВАО , р-н Текстильщики , м. Новохохловская , 1-й Грайвороновский проезд , 7Ак1 51 000 ₽/мес. От года, комм. платежи включены (без счётчиков), комиссия 50%, без залога Долгoсpoчнaя аpенда (договoр нa 11 меcяцев). Предcтaвляeм вашeму внимaнию cтильную cтудию 19,7 кв.м. в ЖK Волжский паpк. Бытовая тeхникa: cтиpaльнaя мaшинa, xoлoдильник, вытяжка, варoчнaя панeль, тeлeвизор, электpический чайник, микрoволнoвая пeчь. Район oблaдаeт нaсыщенной и рaзвитoй инфраcтруктуpой: - в 15 минутax пешком oт метро Текстильщики - подземные и наземные паркинги, дворы-парки - поликлиники, магазины и фитнес-клубы. - в окружении находятся ТЦ Город, Леруа Мерлен, кинотеатр Олимпик Синема и стадион Москвич. Поблизости благоустроенные зелёные зоны: Волжский бульвар, большой Кузьминский лесопарк, пруд Садки и музей-усадьба Кусково. УСЛОВИЯ ПРОЖИВАНИЯ: не более 2-х чел - Комиссия 50% от арендного платежа; - Раннее бронирование объекта (за 3 дня до заселения); - Персональный менеджер на всех этапах аренды быстро реагирует на запросы - большинство бытовых вопросов решаем за 48 часов; - Страхование гражданской ответственности до 0,3 млн ₽; - Организация мелкого ремонта. Коммунальные платежи: электроэнергия, хвс\гвс, услуги интернет провайдера, расходы за отопление дома/квартиры оплачивает арендатор. Заселение только при наличии постоянной регистрации РФ. БЕЗ ЖИВОТНЫХ! Агентство недвижимости СМАРЕНТ Документы проверены +7 985 853-93-... Написать четыре дня назад 22 апр, 16:47",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=2,2026-04-27T11:20:07+00:00
2062,328545633,ЮВАО,https://www.cian.ru/rent/flat/328545633/?context=4.tpiocx-KkXk.somrr8RaOJX9sUlLJlNB62cCVg4wvDbK5lRQpZf9DAY49cRdBCJIbn5EUaWAmHgSfAIqWT86NkuO5g&mlSearchSessionGuid=3c5899e8ce23f7cd56b0c5190b70ca97,1/15,155000,26.0,6,25,,"1/15 Студия, 26 м², 6/25 этаж Только на Циан Нижегородская 11 минут пешком Москва , ЮВАО , р-н Нижегородский , м. Нижегородская , Рязанский проспект , 2/2к1 55 000 ₽/мес. От года, комм. платежи включены (счётчики включены), комиссия 50%, залог 55 000 ₽ Уютная светлая студия в новом ЖК Аквилон Beside. Отличная транспортная доступность, качественный современный ЖК, развитая инфраструктура (много кафе, магазинов, ресторанов на любой вкус). Все абсолютно новое. Комфортно для одного арендатора. Агентство недвижимости SPENСER ESTATE Суперагент +7 985 053-22-... 3 часа назад сегодня, 11:10",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=2,2026-04-27T11:20:07+00:00
2049,328697997,ЮВАО,https://www.cian.ru/rent/flat/328697997/?context=4.zONlqu8zHk8.Vo_jaEqyW-8yL8LpS5IgbazWN1oAgcddVZtGGNg_j13iv-ltt3qLU0cc9iuiQ9zYoyFQxi5WGBCcmQ&mlSearchSessionGuid=3c5899e8ce23f7cd56b0c5190b70ca97,1/21,160000,26.0,2,30,,"1/21 Студия, 26 м², 2/30 этаж Только на Циан Волгоградский проспект 12 минут пешком Москва , ЮВАО , р-н Южнопортовый , м. Угрешская , Волгоградский проспект , 32/5к1 60 000 ₽/мес. От года, комм. платежи включены (без счётчиков), комиссия 60%, залог 60 000 ₽ Арт. 134155294 Сдается студия 26 м² в ЖК ""Метрополия"" (корпус Стокгольм) на длительный срок. В шаговой доступности метро и МЦК: до станции МЦК ""Угрешская"" 45 минут пешком, до метро ""Волгоградский проспект"" 710 минут. Прямой выезд с территории на Волгоградский проспект и ТТК. ЖК комфорт-класса: презентабельный подъезд, вход по смарт-картам, круглосуточная охрана и видеонаблюдение, консьерж в каждом корпусе. Закрытая благоустроенная территория, двор без машин, подземный паркинг, детские и спортивные площадки. Внутри двора и в пешей доступности всё необходимое для жизни: продуктовые магазины, кафе, пункты выдачи заказов (Ozon, Wildberries и другие). Выходить за пределы ЖК не нужно, чтобы забрать посылку или купить продукты. Сама студия светлая, окна выходят во двор тихо. Дизайн минималистичный, всё аккуратно и без лишнего. В квартире уже есть всё необходимое: кровать, кухня с техникой, стол, стулья. Коммунальные платежи по счётчикам. Сдаю на длительный срок. Имеется видеообзор — пришлю ссылкой по запросу. Звоните, пишите, приезжайте смотреть. Агентство недвижимости FOX ESTATE Документы проверены +7 989 564-10-... Написать вчера вчера, 18:55",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=2,2026-04-27T11:20:07+00:00
2085,329128014,ЮВАО,https://www.cian.ru/rent/flat/329128014/?context=4.6aZd_AkbVYo.oCcmQtAw-yG1RCvr-1ABQu2BV4NErPlFsL4_L02wvKGU_E5SLPepjwfTJUO0SwLbedDekJdAl-ji6w&mlSearchSessionGuid=2563f63b1d546e2b6d3152e29d739159,1/14,160000,24.0,28,33,,"1/14 Студия, 24 м², 28/33 этаж Только на Циан Волгоградский проспект 6 минут пешком Москва , ЮВАО , р-н Южнопортовый , м. Волгоградский проспект , Новоостаповская улица , 7к1 60 000 ₽/мес. От года, комм. платежи включены (без счётчиков), комиссия 50%, залог 60 000 ₽ ВИДОВАЯ КВАРТИРА! Вашему вниманию предлагается ДИЗАЙНЕРСКАЯ СТУДИЯ в ЖК Первый Дубровский. Предлагаю сразу ознакомиться с ВИДЕО и записываться на показ. Квартира-студия оборудована необходимой НОВОЙ техникой и мебелью для комфортного проживания: Заезжай и живи! Наполнение продумано собственником до МЕЛОЧЕЙ! Полностью меблированная квартира-студия! Кухня оборудована техникой, а именно: варочная панель, вытяжка, СВЧ, посудомоечная машина, чайник, кухонные принадлежности/посуда и вместительный холодильник. Комфортный угловой раскладной диван с подъемным механизмом/системой хранения. Оборудованная ТВ-зона. В квартире-студии установлен кондиционер, будет комфортно в любую погоду. Много места для хранения ваших вещей. Очень приятный и отзывчивый собственник. ФАНТАСТИЧЕСКИ развитая инфраструктура: бесчисленное множество супермаркетов, аптек, ПВ3, кафе, ресторанов и торговых центров в шаговой доступности от дома. УДОБНАЯ транспортная доступность: 6 минут пешком до метро Волгоградский проспект/13 минут пешком до метро Дубровка. Рассмотрим семейную пару или одного проживающего. Без детей. Без животных. Если будут вопросы, обращайтесь по телефону или в чате. С уважением, Ольга Риелтор Ольга Мешкова Суперагент +7 916 532-83-... Написать неделю назад 18 апр, 18:01",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=3,2026-04-27T11:20:07+00:00
2032,326369424,ЮВАО,https://www.cian.ru/rent/flat/326369424/?context=4.b9XfHViF35M.xQSGgFKxLRbMqcv7WHejW_cbwoi0bxsx04m06vNe4YwkqrM7bZMm4Ut6cUydY8J4LNEZzdi9JTF17w&mlSearchSessionGuid=eab2cefc752236b7c6e78cec726d7aae,1/17 Ещё фото,165000,25.0,3,8,,"1/17 Ещё фото Студия, 25 м², 3/8 этаж Угрешская 5 минут пешком Москва , ЮВАО , р-н Южнопортовый , м. Угрешская , Волгоградский проспект , 32/5к1 65 000 ₽/мес. От года, комм. платежи включены (без счётчиков), комиссия 50%, залог 65 000 ₽ Id 60313. Представляем к аренде студию, где каждая деталь продумана для вашего удобства. Объект идеально подойдет для молодых профессионалов, студентов ведущих вузов или в качестве городского гостевого пространства для деловых поездок. Квартира площадью 25 м² выполнена с полной современной отделкой и полностью укомплектована всей необходимой техникой и мебелью. В вашем распоряжении стильная мебель, полноценная кухня с техникой (посудомоечная машина, холодильник, варочная панель), кондиционер, стиральная машина, телевизор и высокоскоростной интернет. Высокие потолки 2.8 метра и панорамные окна создают ощущение простора и наполняют пространство светом. Жилой комплекс ""Метрополия"" предлагает уровень жизни, который ценится выше среднего. В доме работают два пассажирских и один грузовой лифт, что гарантирует отсутствие очередей. Ваш автомобиль будет в безопасности в охраняемом подземном паркинге. Ключевое преимущество — фантастическая транспортная доступность: всего 6 минут пешком до станции метро ""Волгоградский проспект"", 9 минут до ""Пролетарской"" и 11 минут до ""Крестьянской Заставы"". Это открывает быстрый доступ к центру города и основным деловым кластерам. Район отличается развитой инфраструктурой и зелеными зонами. В шаговой доступности находятся кафе, рестораны, фитнес-центры и супермаркеты. После рабочего дня можно отдохнуть в одном из близлежащих парков. Условия аренды прозрачны: ежемесячная плата составляет 65 000 рублей, включая коммунальные услуги (кроме счетчиков), что обеспечивает предсказуемость бюджета. Залог равен месячной плате. Звоните для уточнения деталей и согласования просмотра! Агентство недвижимости EstateLiga Документы проверены Посмотреть все объекты +7 916 863-15-... Написать вчера вчера, 19:25",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=1,2026-04-27T11:20:07+00:00
2072,323420031,ЮВАО,https://www.cian.ru/rent/flat/323420031/?context=4.N52ZTHtzqp4.bL5qLTrsd0fAFg75THiRcdVKk3Qq1oOEvDOI6q01ATVLaemNNzvhv_FYaqmjwPe8ddfcLnfjTrhH2A&mlSearchSessionGuid=3c5899e8ce23f7cd56b0c5190b70ca97,1/16,165000,20.0,25,32,,"1/16 Студия, 20 м², 25/32 этаж Только на Циан Волгоградский проспект 6 минут пешком Москва , ЮВАО , р-н Южнопортовый , м. Волгоградский проспект , Новоостаповская улица , 7к1 65 000 ₽/мес. От года, комм. платежи включены (без счётчиков), комиссия 50%, залог 65 000 ₽ Представляю вашему вниманию стильную видовую квартиру-студия на 25-м этаже в новом жилом комплексе Первый Дубровский. Идеально подойдет одному человеку или паре! В квартире выполнена меблировка по дизайнерскому проекту в скандинавском стиле. Получилась очень уютная, светлая, просторная и максимально практичная квартира для комфортного длительного проживания. Преимущества данной квартиры: Мебель. Кухня-гостиная: классный стильный продуманный кухонный уголок со всей необходимой техникой, обеденным столом, стульями, большим телевизором. Спальня зона: шикарная уютная двуспальная кровать с ортопедическим матрасом и подъемным механизмом, большой шкаф для одежды с зеркалами, шторы блэкаут. Прихожая: большой шкаф для одежды, консоль, пуф. Санузел: оборудован душевой кабинкой, большим зеркалом с ящиком, стиральной машинкой, полотенцесушителем, шкафчиком для принадлежностей. Много мест хранения: кровать с подъемным механизмом, 2 шкафа с выдвижными системами и штангой. Кресла-стулья с поворотным механизмом. Бытовая техника: стиральная машинка, холодильник no frost, варочная панель, духовой шкаф, посудомоечная машина, вытяжка, телевизор, СВЧ, электрический чайник, кондиционер, интернет. Район обладает развитой инфраструктурой, в шаговой доступности детские сады, школы, игровые площадки, все необходимые магазины, аптеки, кафе, бары, пункты выдачи OZON, WB и многое другое. Удобная транспортная доступность: до метро Волгоградский проспект - 5 мин пешком, до ТТК - 5 мин на авто, до центра - 15 мин на авто. Условия проживания: - долгосрочная аренда - договор на 11 мес., с последующей пролонгацией - коммунальные платежи включены (без счетчиков и интернета) - коммунальные платежи по счетчикам: электроэнергия, горячая/холодная, услуги интернета оплачивает арендатор. - заселение только при наличии постоянной или временной регистрации РФ. - без животных - стоимость аренды: 65 000 руб Риелтор ID 21527139 Документы проверены +7 989 593-09-... Написать вчера вчера, 14:51",,https://www.cian.ru/cat.php?deal_type=rent&district%5B0%5D=8&engine_version=2&offer_type=flat&room9=1&type=4&p=2,2026-04-27T11:20:07+00:00
